title,description,animal_type,breed,units,avg_weight_kg,avg_age_years,price,price_unit,is_certified,health_certificates,location_city,location_department,status,cover_image_url,documents
AFTOGAN 2 ML - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 10, 25 y 50 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
AFTOGAN 2 ML - Bufálos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 10, 25 y 50 dosis.. Especie destino: Bufálos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bufálos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
AFTOGAN RABIA 2ML - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 10, 25 y 50 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
AFTOGAN RABIA 2ML - Búfalos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 10, 25 y 50 dosis.. Especie destino: Búfalos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Búfalos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
VACUNA TRIPLE HA - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 20, 50 y dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
VACUNA TRIPLE HA - Ovinos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 20, 50 y dosis.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
HEXAGAN - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 20 y 50 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
HEXAGAN - Ovinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 20 y 50 dosis.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
VACUNA ESTOMATITIS - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos po, 20 y 50 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
CEPA 19 - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frasco por 5 dosis con su diluyente.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
BLINDAGAN - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 20, 25, 50 y 100 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
MYCOCERD - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 20 y 50 dosis.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
RAYOVACUNA - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 25 y 50 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
RAYOVACUNA - Equinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 25 y 50 dosis.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
RAYOVACUNA - Ovinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 25 y 50 dosis.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
RAYOVACUNA - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 25 y 50 dosis.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
VACUNA ENCEFALITIS EQUINA - Equinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frasco por 10 dosis.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
RABIGAN - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Vacuna. Presentación: Frascos por 10 y 50 dosis.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
CEFTIOFUR SODICO - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 1 g y 4 g acompañados por diluyente.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
CEFTIOFUR SODICO - Equinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 1 g y 4 g acompañados por diluyente.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
CEFTIOFUR SODICO - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 1 g y 4 g acompañados por diluyente.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
CEFTIOFUR SODICO - Caninos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 1 g y 4 g acompañados por diluyente.. Especie destino: Caninos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Caninos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
ENROFLOXACINA 10% - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 50, 100 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
ENROFLOXACINA 10% - Equinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 50, 100 ml.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
ENROFLOXACINA 10% - Porcinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 50, 100 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
ENROFLOXACINA 10% - Caninos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 50, 100 ml.. Especie destino: Caninos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Caninos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
ENROFLOXACINA 10% - Ovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 50, 100 ml.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
ENROFLOXACINA 10% - Felinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 50, 100 ml.. Especie destino: Felinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Felinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
LONGICILINA 200 - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
LONGICILINA 200 - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
LONGICILINA 200 - Ovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
LONGICILINA 200 - Caprinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Caprinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,caprino,Caprinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
LONGICILINA 200 - Aves,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Aves. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,avicola,Aves,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Equinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Ovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Caninos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Caninos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Caninos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Felinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Felinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Felinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Aves,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Aves. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,avicola,Aves,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Equinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Ovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Caninos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Caninos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Caninos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Aves,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Aves. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,avicola,Aves,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TILOSINA - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 25, 100 y 250 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TILOSINA - Porcinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 25, 100 y 250 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Equinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Ovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Caprinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Caprinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",caprino,Caprinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
